,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
california,49,22,3,4,16,10,1,9,3,1,1,12,1,2,0,3,21,0,17,5,0,5,10,7,27,3,2,0,8,7,10,23,4
mdpv,15,4,1,1,4,1,0,8,2,1,1,4,1,0,0,2,6,0,6,2,1,1,6,3,6,0,0,0,1,4,3,5,2
inhaler,14,8,2,1,3,4,0,4,3,1,0,2,1,1,0,1,9,2,2,3,0,1,7,3,12,2,0,0,0,1,5,5,0
loratadine,5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0
caffiene,20,10,1,2,5,9,0,3,1,1,0,5,1,0,0,1,11,0,9,5,0,4,4,2,11,3,0,0,3,0,4,10,0
sinica,11,11,0,0,4,5,0,5,1,0,0,1,0,0,0,0,10,0,4,3,0,0,1,1,8,0,0,0,2,2,2,0,2
deprivation,35,20,1,2,15,11,1,4,3,1,1,14,1,0,0,0,14,2,12,5,0,7,8,5,19,3,0,0,4,0,7,21,1
ritual,49,19,4,2,19,8,0,8,3,3,3,22,1,0,0,3,20,1,15,6,1,10,9,9,24,5,0,0,6,9,10,32,5
metaxalone,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
oxycontin,26,12,0,2,10,4,0,5,1,2,0,5,1,0,1,1,12,2,9,3,0,4,7,1,14,0,0,0,4,4,4,11,0
american,60,27,4,5,24,13,1,10,6,3,3,18,3,1,1,3,31,1,24,6,1,9,9,12,36,9,1,0,11,8,13,43,7
zyprexa,18,5,0,1,5,2,0,3,1,0,0,4,1,0,0,0,5,0,8,4,0,1,3,0,9,0,0,0,2,2,2,4,0
sleepdeprivation,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
bupropion,14,8,0,2,5,5,0,6,3,1,0,1,0,0,0,0,10,0,8,3,0,3,4,3,7,1,0,0,4,1,5,7,1
confusa,2,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,1,0,4,0,0,0,0,0,1,0,0
wasp,11,4,0,1,5,2,0,1,0,1,0,2,1,0,0,0,2,0,3,2,0,1,3,0,9,0,0,0,2,1,3,4,0
imovane,10,4,0,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,2,3,0,0,2,1,6,0,0,0,1,0,2,3,0
ethylphenidate,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
yarrow,14,9,0,0,2,4,0,3,1,1,0,0,1,0,0,0,8,1,4,2,0,1,5,0,10,0,0,0,0,2,2,3,2
xr,9,2,0,0,1,2,0,0,1,0,0,0,1,0,0,0,5,0,3,3,0,1,4,0,12,0,0,0,4,0,1,1,0
antibiotic,23,11,2,4,9,10,1,15,3,1,0,8,2,2,2,1,15,1,8,4,0,4,7,2,13,3,0,0,3,9,6,12,4
mojo,19,13,0,0,5,6,0,2,2,1,0,5,0,0,0,1,5,0,5,2,0,1,5,3,9,1,0,0,4,0,6,7,0
normison,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,0,0
unknown,62,21,2,5,23,8,2,13,7,2,6,21,3,2,0,5,29,1,21,8,0,9,8,10,36,6,3,0,12,9,10,40,5
paint,39,17,0,2,11,6,0,7,2,1,3,9,1,0,0,1,19,0,12,6,0,6,7,5,24,1,0,0,5,2,10,28,3
fenfluramine,6,5,0,2,2,3,0,5,3,1,0,0,2,0,0,0,3,0,4,1,0,0,2,0,4,0,0,0,0,0,2,1,0
racemic,19,6,0,1,5,4,0,6,3,0,0,2,2,1,0,1,10,1,5,3,0,1,5,2,12,0,0,0,2,0,4,5,0
periwinkle,6,8,0,0,2,4,0,3,1,0,0,0,0,0,0,0,9,0,3,3,0,0,2,0,5,0,0,0,0,2,1,1,2
white,76,30,8,7,30,12,0,20,8,6,5,26,3,4,2,5,41,1,28,8,2,10,10,13,44,12,0,0,14,11,13,53,8
iap,10,3,0,1,1,1,0,0,1,0,0,1,0,0,0,0,4,0,1,2,0,0,3,0,6,0,0,0,0,0,0,0,1
skullcap,17,11,0,0,4,5,1,3,1,1,1,1,1,0,0,0,11,0,6,3,0,2,6,1,11,1,0,0,1,3,4,5,2
pramipexole,5,6,0,0,2,3,0,1,2,0,0,0,0,0,0,0,5,0,1,0,0,1,2,1,4,1,0,0,2,1,3,0,0
oxymorphone,6,1,0,0,3,2,0,1,0,0,0,1,0,0,0,0,3,1,2,0,0,0,3,0,9,1,0,0,1,1,3,2,0
ritonavir,4,3,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,2,1,1
olmifon,5,6,0,0,2,3,0,1,2,0,0,0,0,0,0,0,5,0,1,0,0,1,2,1,4,1,0,0,2,1,3,0,0
fioricet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tfmpp,11,5,0,1,3,3,0,0,1,1,0,1,0,0,0,0,7,0,2,2,0,1,4,0,9,0,0,0,0,0,3,3,0
mmda,13,11,0,1,4,6,0,4,1,2,0,0,1,0,0,0,16,1,5,4,0,1,5,0,10,0,0,0,1,3,4,1,2
shower,55,23,0,6,19,9,1,7,5,1,2,14,1,0,0,1,17,0,14,7,0,8,9,10,31,7,0,0,6,7,8,32,3
mpdv,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magnesium,26,12,3,3,7,10,0,7,2,1,1,4,2,0,1,1,14,0,10,3,0,2,7,2,13,1,0,0,4,5,4,8,4
gabob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mindfulness,18,9,0,0,6,3,0,0,1,1,0,8,1,0,1,0,4,1,3,2,0,3,3,0,10,1,0,0,3,0,3,6,0
sychronicity,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0
cymbalta,9,9,0,0,2,4,0,2,2,0,0,0,0,0,0,1,7,0,2,2,0,1,4,2,8,1,0,0,2,2,3,3,0
ginger,41,18,0,1,8,10,1,11,2,1,1,8,1,0,1,2,15,0,10,6,0,5,6,2,14,5,0,0,4,6,6,16,4
calea,25,13,0,1,7,8,0,3,1,1,0,4,0,0,0,1,13,0,7,4,0,2,7,0,11,0,1,0,1,2,4,7,2
ultram,15,3,0,0,4,3,0,3,2,1,0,5,0,0,0,1,2,0,2,4,0,3,2,0,6,0,0,0,0,0,1,4,0
aropax,9,1,0,0,2,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,2,1,0,0,1,0,1,3,0
diazepam,33,15,0,3,10,11,0,15,2,1,1,8,1,1,1,2,15,1,16,4,0,6,7,2,19,3,0,0,7,5,7,11,3
breathing,63,23,4,7,18,15,2,12,3,3,2,19,1,3,0,4,28,3,21,8,0,7,9,13,32,11,1,0,8,8,13,36,5
hawaiian,42,19,1,1,12,7,0,7,2,1,2,14,1,0,0,2,19,0,11,5,1,6,6,6,21,0,0,0,6,4,9,17,3
advil,10,4,0,0,2,1,1,1,1,0,0,0,1,0,0,0,6,0,3,2,0,1,1,1,9,0,0,0,1,1,0,3,0
cyclizine,2,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,2,3,0,0,4,0,5,0,0,0,0,0,1,1,0
pharmahuasca,9,4,0,0,2,3,0,1,1,0,1,3,0,0,0,0,3,0,0,3,0,2,3,1,9,1,0,0,1,1,2,4,0
mephedrone,12,3,0,1,4,1,0,2,1,1,0,0,0,0,0,0,4,0,4,1,0,1,2,2,9,0,0,0,0,0,2,1,1
nootropil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
mix,72,27,6,6,23,14,1,16,7,3,2,20,2,2,1,4,38,1,23,6,2,9,11,13,41,11,2,0,15,13,14,46,6
naproxen,9,3,0,0,0,2,1,1,3,1,0,0,0,0,1,0,6,0,1,3,0,1,2,0,6,0,0,0,0,1,1,2,0
anahuasca,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
effexor,11,9,0,2,3,5,0,4,2,0,0,1,0,0,0,0,10,0,5,4,0,2,4,1,11,1,0,0,3,1,4,5,1
butalbital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
damiana,28,15,0,0,8,5,0,5,2,1,1,4,1,0,0,1,15,1,9,3,2,1,6,6,10,1,0,0,4,4,5,13,3
risperidone,2,5,0,1,2,2,0,4,0,0,0,0,0,0,0,0,5,0,6,2,0,0,2,1,4,0,0,0,0,0,1,0,1
pain,71,32,7,7,25,17,3,26,9,4,4,21,4,5,4,5,43,2,28,7,2,10,10,13,37,12,1,0,11,16,15,48,6
ghb,50,22,0,4,8,11,0,14,3,2,1,8,2,1,0,1,19,1,17,5,0,4,8,11,24,5,1,0,8,7,9,21,4
clonazepam,26,13,0,2,7,6,0,3,3,0,0,4,0,0,0,0,16,0,12,3,0,4,6,2,13,1,0,0,3,2,4,8,0
methylphenidate,17,11,1,1,2,5,0,5,3,2,1,8,1,0,0,1,12,1,7,2,0,2,5,2,11,1,0,0,2,3,6,4,0
coleus,17,13,0,0,6,5,0,4,2,1,0,2,0,0,0,0,12,0,6,4,1,1,5,4,12,1,0,0,2,3,1,7,2
mimosa,38,14,1,2,9,7,0,7,2,1,1,11,1,0,0,0,15,1,8,4,0,4,7,2,21,4,0,0,8,3,8,15,1
maca,21,10,0,0,7,3,0,3,2,0,0,4,2,0,0,1,10,0,6,1,1,0,3,6,11,0,0,0,1,3,3,11,1
lunesta,8,8,0,0,4,3,0,2,2,0,0,0,0,0,0,0,8,0,1,1,0,1,3,2,5,1,0,0,2,1,3,1,0
device,50,19,1,2,15,4,0,14,3,1,2,14,1,2,2,1,15,1,15,6,0,8,6,8,23,6,0,0,7,3,9,26,3
awa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nabilone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
doi,27,16,0,2,4,3,0,6,2,2,1,5,1,1,0,4,15,0,10,5,0,2,7,2,18,2,0,0,6,1,8,12,1
don,45,25,1,5,17,9,0,8,3,1,2,14,2,0,0,1,19,2,15,7,0,6,6,8,26,4,1,0,6,2,10,27,4
demerol,11,6,0,0,4,2,0,4,1,1,1,3,1,0,0,0,10,1,5,3,0,4,4,0,10,0,0,0,2,1,2,3,0
bzp,19,10,0,1,5,2,0,2,2,0,0,2,1,1,0,1,12,0,5,5,0,2,5,1,14,0,0,0,0,1,6,11,0
dob,36,12,0,1,9,4,0,7,1,2,1,8,1,0,0,2,15,1,7,4,0,3,7,3,19,2,0,0,2,2,8,12,1
doc,51,22,0,6,17,10,0,16,3,2,1,10,1,1,1,3,23,1,20,7,1,6,8,7,26,6,0,0,8,8,9,28,4
nefazodone,8,7,0,0,2,4,0,2,2,0,0,0,0,0,0,0,5,0,1,0,0,1,2,1,5,1,0,0,2,1,3,2,1
aerosol,8,2,0,0,4,0,0,1,0,1,0,3,0,0,0,0,6,0,2,2,0,0,2,1,9,2,0,0,0,1,2,5,1
gaba,34,17,1,4,8,11,0,8,4,2,1,5,1,0,0,1,21,1,15,4,1,2,7,6,17,4,0,0,6,7,10,11,2
tincture,48,20,4,4,13,9,0,12,2,1,2,10,2,1,1,3,21,1,14,6,2,6,10,8,21,2,0,0,6,11,10,25,7
ginseng,19,12,0,2,5,4,0,7,2,1,0,4,0,0,0,1,13,1,9,5,2,3,7,5,14,1,0,0,2,1,3,11,2
sage,49,19,2,3,11,7,0,7,5,1,2,12,1,0,1,2,16,1,15,5,0,5,7,8,20,5,0,0,7,10,7,23,4
diphenhydrinate,5,4,0,0,2,1,0,1,0,0,0,1,0,0,0,0,2,0,3,2,0,1,3,0,7,0,0,0,0,0,1,1,0
vistaril,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
psilocybe,42,17,2,2,14,8,0,8,2,1,4,13,1,0,0,2,18,0,11,5,0,6,6,4,24,4,0,0,6,4,9,20,4
lyrica,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,1,2,0,4,0,0,0,0,0,2,1,0
cannibus,6,4,0,0,3,1,0,3,1,0,1,1,0,0,0,0,4,0,5,3,0,1,4,4,10,0,0,0,0,1,2,5,0
lactuca,4,2,0,1,2,2,0,1,1,0,0,1,0,0,0,0,1,0,1,2,0,2,1,0,3,0,0,0,0,1,2,1,0
sativa,31,13,0,2,9,4,0,7,2,2,1,5,1,0,0,1,14,1,11,5,0,3,7,4,20,2,0,0,6,2,7,14,1
pedicularis,9,5,0,0,3,3,0,1,0,1,0,1,0,0,0,0,3,0,1,1,0,1,2,0,4,1,0,0,2,0,2,1,0
pituri,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,1,0,5,0,0,0,0,0,1,0,0
rohypnol,10,6,0,0,2,1,0,1,1,0,0,0,0,0,0,0,4,0,4,3,0,1,4,0,7,0,0,0,0,1,2,3,0
haze,36,16,0,0,8,4,1,6,1,1,2,10,0,0,0,0,14,1,10,5,0,3,7,3,20,2,0,0,3,0,9,18,1
viagra,19,10,0,0,4,5,0,8,3,2,0,5,1,0,0,1,11,0,8,3,0,2,5,4,11,3,0,0,4,3,5,9,0
bufotenin,16,7,0,0,3,2,0,2,0,0,0,5,0,0,0,1,7,0,4,4,1,3,4,3,9,1,0,0,3,1,1,4,0
jah,29,16,0,1,8,7,0,7,2,1,1,10,1,1,0,2,15,0,7,4,0,3,7,3,14,3,0,0,2,3,8,15,1
methamphetimine,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,1,0
trazedone,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,1,0,3,0,0,0,0,0,0,0,1
levmetamfetamine,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,1,4,0,0,0,0,0,1,1,0
galangal,3,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,2,0,0,0,1,0,2,1,0
fluid,55,24,2,4,23,12,0,18,5,2,4,14,3,1,2,2,28,1,19,6,0,9,8,9,37,10,0,0,11,9,10,34,6
dopr,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0
dpt,40,13,0,2,8,5,0,7,1,1,2,15,1,0,0,0,15,0,10,6,0,6,10,4,20,4,1,0,5,3,10,17,3
aet,9,1,0,1,2,1,0,1,1,0,0,2,0,0,0,0,5,0,3,2,0,3,3,0,8,0,0,0,1,0,2,0,0
tobacco,53,24,1,3,21,10,0,11,3,4,3,13,1,2,0,1,24,1,16,6,0,7,8,9,29,8,0,0,8,8,10,29,3
gbl,24,11,0,1,4,7,0,6,1,1,0,4,1,0,0,0,8,0,7,2,0,1,5,8,11,3,0,0,1,2,8,9,2
yohimbe,17,11,0,0,5,2,0,6,2,1,1,3,0,0,0,1,11,1,8,3,1,3,6,8,13,0,0,0,2,2,2,9,1
patch,47,19,2,2,18,8,0,7,4,2,1,11,0,0,2,2,18,2,15,5,1,7,9,9,25,5,0,0,7,8,8,26,4
lotus,48,21,0,3,11,9,0,8,3,1,2,15,1,0,0,3,18,1,14,6,1,5,9,11,23,2,1,0,4,4,8,26,4
nutmeg,33,17,1,1,6,6,2,5,2,2,1,6,0,1,0,1,17,0,10,5,0,5,6,2,13,1,0,0,3,4,5,14,2
benzylpiperazine,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,2,3,0,1,2,0,7,0,1,0,0,1,0,3,0
propoxyphene,5,5,0,0,4,3,0,11,1,2,0,0,1,1,1,0,8,1,3,3,0,2,3,1,11,1,0,0,2,1,2,6,2
gabapentin,8,4,0,0,2,3,0,3,1,0,0,2,1,0,0,0,5,0,3,1,0,0,3,3,8,0,0,0,0,0,1,2,0
deprenyl,8,7,0,0,3,4,0,2,2,0,0,3,0,0,0,1,6,0,2,1,0,1,2,2,6,3,0,0,2,1,6,1,0
unisom,4,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,0,0,0,1,0,1,2,0
testing,48,24,3,4,21,9,0,20,6,3,2,14,2,4,2,5,29,1,19,7,2,6,9,5,32,9,1,0,10,10,11,25,5
powder,64,28,6,5,26,15,1,14,6,2,5,19,2,3,2,7,34,2,20,6,2,9,9,12,40,11,3,0,12,17,14,41,6
explosion,37,14,1,3,17,7,0,3,2,2,1,7,1,0,1,0,18,1,14,5,0,8,8,7,21,2,0,0,6,4,7,22,2
bark,48,23,3,4,19,11,0,9,5,1,1,12,1,0,1,3,21,1,13,6,1,9,8,10,27,7,0,0,7,12,7,25,6
pmma,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,1
snuff,24,15,2,1,7,6,0,7,1,1,1,4,1,0,0,0,16,0,9,6,0,3,6,5,14,1,0,0,5,7,4,11,3
nbomes,5,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,4,0,0,0,0,0,2,2,0
redrock,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
didgeridoo,21,4,0,0,5,4,0,1,1,1,1,6,1,0,0,1,4,0,3,6,0,3,1,0,11,0,0,0,1,0,2,8,1
skelaxin,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
inoxia,5,4,0,1,5,1,0,0,0,0,1,4,0,0,0,0,7,1,2,3,0,0,3,1,7,0,0,0,1,1,4,2,0
trytophan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,1,1,0
naphyrone,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,0,1,1,0,1
psychedelics,76,30,2,7,25,11,2,19,5,2,4,22,2,2,1,3,45,1,23,10,1,9,11,12,41,8,3,0,13,10,13,43,4
dipt,29,10,0,1,6,4,0,1,1,1,1,5,1,0,0,1,14,0,8,4,0,5,5,4,16,2,0,0,5,1,8,12,1
adrenochrome,11,10,0,0,3,5,0,4,1,0,0,2,0,1,0,1,9,0,5,4,0,0,3,1,6,0,0,0,1,2,3,0,2
screen,57,25,0,3,22,8,1,9,4,2,2,18,2,2,0,3,23,0,17,7,0,10,8,8,34,9,1,0,10,6,11,33,5
vitamin,46,22,3,5,14,12,0,13,4,1,2,11,3,0,2,3,24,3,15,5,1,6,9,9,24,6,0,0,8,8,11,25,5
diphenydramine,6,5,0,0,1,1,0,3,1,0,0,3,0,0,0,0,5,0,3,2,0,0,1,0,6,0,0,0,2,0,2,5,0
lecithin,12,12,0,1,2,4,0,0,0,1,0,5,1,0,0,0,10,0,6,3,0,2,5,0,9,2,0,0,0,0,6,6,1
butane,30,15,0,0,8,6,0,5,2,1,1,3,1,0,0,0,14,0,8,4,0,4,6,2,19,5,0,0,2,3,7,14,3
venlafaxine,8,7,0,1,2,4,0,2,3,0,0,1,0,0,0,0,8,0,6,3,0,1,2,1,7,1,0,0,3,1,6,5,0
sassafras,24,13,0,0,6,6,1,5,2,1,0,6,1,0,0,1,12,0,8,4,1,5,7,5,9,0,0,0,1,5,3,12,2
hyoscyamine,13,9,0,1,3,5,0,3,1,0,0,4,0,0,0,0,13,1,5,4,1,0,5,1,9,1,0,0,2,2,3,2,3
topamax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pennyroyal,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0
dimethocaine,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
drug,91,37,8,8,37,20,3,28,11,4,10,26,8,6,4,7,68,3,41,11,3,10,12,18,53,16,4,0,16,21,17,63,10
piracetam,33,19,2,1,7,8,0,9,3,1,1,7,1,0,0,2,18,1,8,5,0,1,8,4,18,4,0,0,4,4,6,13,2
reboxetine,5,6,0,0,2,3,0,1,2,0,0,0,0,0,0,0,5,0,1,0,0,1,2,1,4,1,0,0,2,1,3,0,0
aura,44,14,2,2,14,7,0,5,2,2,1,12,1,1,0,2,17,1,8,5,0,3,8,6,21,4,0,0,2,2,7,17,2
hydergine,13,9,0,0,3,3,0,1,1,0,0,3,0,0,0,1,6,0,5,1,0,1,7,2,11,2,0,0,2,0,4,3,0
marjoram,7,8,0,0,2,4,0,3,1,0,0,0,0,0,0,0,8,0,3,2,0,0,2,1,5,0,0,0,0,2,2,1,2
calamus,18,15,2,0,7,5,0,5,2,1,0,4,0,0,0,1,11,0,9,5,1,2,7,4,10,0,0,0,1,5,2,7,2
zopidem,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peyote,39,20,0,1,15,8,0,7,2,2,1,16,2,0,0,3,23,1,14,6,0,4,6,5,19,2,1,0,7,4,9,20,4
abilify,2,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,1,2,0,3,0,0,0,0,0,1,0,0
doxycycline,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,2,1,0,0
oregano,16,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,2,4,0,0,1,0,7,1,0,0,0,0,2,5,1
secobarbital,2,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,5,0,5,3,0,0,3,1,6,0,0,0,0,0,1,0,1
pod,39,18,3,1,11,7,0,8,3,1,1,13,1,0,0,3,16,1,12,5,1,2,9,6,16,0,0,0,5,5,8,20,3
cp,10,4,0,0,3,1,0,3,1,0,0,3,1,1,0,2,8,0,2,2,0,2,2,0,8,0,0,0,2,0,4,2,1
ether,38,19,2,1,12,8,0,15,2,3,1,11,1,3,1,1,16,1,10,6,0,6,7,4,19,6,1,0,7,1,9,20,2
pranayama,4,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,1,0,5,0,0,0,0,0,0,3,0
toothpaste,19,3,0,0,4,4,0,3,1,0,0,2,0,0,0,0,6,0,4,3,0,1,2,0,12,1,0,0,0,1,2,5,0
naltrexone,7,2,0,0,1,4,0,2,0,1,0,1,0,0,1,0,2,0,3,1,0,0,1,0,6,0,0,0,1,0,2,0,0
beer,64,26,0,6,18,14,0,15,5,2,2,15,1,4,2,4,29,1,21,6,1,7,8,12,30,6,1,0,6,6,12,40,6
grapefruit,29,14,0,0,4,7,0,3,3,1,1,8,2,0,0,0,16,0,7,3,1,2,5,0,13,0,0,0,3,2,5,14,1
brunfelsia,6,5,2,1,3,3,0,2,1,0,0,3,0,0,0,0,5,1,1,2,0,0,4,1,6,0,0,0,1,1,3,2,0
phenytoin,1,2,0,0,2,1,0,10,0,0,0,0,0,1,1,0,0,1,2,0,0,1,1,1,3,1,0,0,1,1,2,1,2
codiene,10,6,0,0,3,7,0,2,1,1,0,2,0,0,0,0,5,0,3,2,0,0,5,0,10,0,0,0,1,0,4,3,1
argemone,4,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,1,5,0,0,0,1,0,3,3,0
nucifera,20,8,0,0,1,2,0,3,0,1,0,2,0,0,0,1,6,1,0,2,0,3,6,0,7,0,0,0,2,1,3,8,1
amitriptyline,7,5,0,0,2,2,0,1,3,1,0,0,0,0,0,0,3,0,4,0,0,0,2,1,3,0,0,0,0,0,2,3,1
opium,51,19,1,5,14,12,0,18,2,3,2,11,2,3,1,2,24,3,17,5,0,4,8,6,27,2,3,0,9,6,9,27,5
phenobarbital,8,5,0,0,2,3,0,2,1,1,0,0,1,0,0,0,4,0,4,3,1,0,2,0,7,0,0,0,1,0,0,3,1
neurontin,8,3,0,0,1,1,0,3,1,0,0,2,1,0,0,1,5,0,6,1,0,1,3,3,5,0,0,0,1,1,1,3,0
buprenorphine,16,11,0,1,3,9,0,3,2,1,1,0,0,0,0,0,13,1,5,3,0,3,5,2,10,1,0,0,4,3,7,5,3
lamotrigine,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1,0,0,0,0,3,0,0,0,0,0,1,0,0
dhea,8,5,0,0,4,2,0,4,3,0,0,0,0,1,0,1,5,0,3,2,1,1,3,5,7,0,0,0,1,1,2,2,0
sound,85,36,8,8,34,18,1,21,11,5,10,28,3,5,2,6,51,2,30,9,2,10,12,15,53,14,4,0,15,20,17,60,8
bearberry,14,3,0,0,1,1,0,0,2,0,0,2,0,0,0,0,4,0,0,2,0,2,3,0,6,2,0,0,0,0,0,2,0
tank,34,13,3,4,13,8,0,5,3,1,1,10,0,1,0,0,14,0,10,5,0,6,6,10,25,8,1,0,5,0,8,25,2
kava,35,21,2,2,11,9,1,7,3,2,1,5,1,1,1,3,21,1,12,3,1,3,9,7,20,1,0,0,4,5,6,14,2
capsicum,5,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,2,3,0,5,0,0,0,0,1,2,1,0
sildenafil,5,6,0,0,2,3,0,5,2,1,0,0,0,0,0,0,5,0,1,1,0,1,4,3,8,1,0,0,2,2,3,2,0
phenelzine,12,9,0,1,3,4,0,6,3,2,0,1,1,0,0,0,9,1,5,2,0,3,3,1,7,1,0,0,3,1,4,0,1
cannabinoids,27,17,0,2,10,4,0,6,2,3,1,6,2,0,0,1,16,1,11,5,1,3,8,5,19,2,0,0,4,2,6,16,1
coca,35,19,2,3,14,11,0,6,3,2,1,13,1,1,0,2,20,1,11,5,1,5,9,7,16,5,1,0,5,4,7,20,1
diphenhyramine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mdoh,3,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,8,0,0,1,0,0,3,0,5,0,0,0,0,0,1,1,0
meperidine,10,5,0,1,3,3,0,4,2,1,0,1,1,0,0,0,12,1,4,2,0,3,3,0,7,0,0,0,1,0,3,2,1
mugwort,19,6,0,1,3,3,0,2,1,1,0,3,0,0,0,0,10,1,1,2,0,3,6,1,8,0,0,0,2,2,3,7,1
n2o,20,13,1,1,4,6,0,4,2,1,1,7,0,0,0,0,11,2,7,5,0,2,6,1,12,4,0,0,5,0,6,15,1
difluoroethane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
