,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
bz,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,0,2,0,4,0,0,0,1,0,2,2,0
spike,35,16,1,3,13,4,1,6,2,1,1,10,1,0,0,1,15,0,13,4,0,7,8,6,18,3,0,0,3,5,8,23,2
det,21,7,0,1,2,4,0,1,1,2,1,3,1,0,0,0,12,1,5,3,0,3,6,0,13,0,0,0,3,2,4,6,0
pregabalin,10,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,4,0,1,0,0,1,2,3,4,0,0,0,0,0,2,2,0
khat,15,11,0,0,4,5,0,4,2,1,0,2,0,0,0,1,10,0,5,2,0,3,4,0,9,0,0,0,2,2,4,4,2
aspirin,35,14,1,2,12,11,0,14,5,2,2,5,1,1,2,0,17,1,11,5,0,8,8,7,19,3,0,0,5,4,7,27,4
linden,7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
diamond,36,10,0,0,8,6,1,4,1,1,1,12,0,0,0,0,12,0,7,8,0,4,3,3,20,2,0,0,4,0,7,16,3
chlorpromazine,18,9,0,2,7,5,0,13,3,1,0,3,0,1,1,0,11,1,13,2,0,5,6,5,8,2,0,0,4,2,7,7,2
infusion,29,18,2,4,9,9,1,16,3,1,0,5,1,2,1,2,20,1,12,6,2,2,7,5,15,5,0,0,4,7,6,14,4
chocolate,53,22,3,4,15,11,0,10,6,3,3,16,2,1,1,3,20,1,14,6,1,7,8,9,27,6,0,0,8,5,12,26,3
butabital,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myrrh,13,6,2,0,5,4,0,3,1,2,0,4,1,0,0,1,7,1,6,3,0,2,4,0,8,1,0,0,1,3,3,1,0
mescaline,63,23,0,6,21,11,1,11,3,2,2,19,2,2,1,5,25,3,22,7,0,7,8,8,27,5,0,0,8,8,11,35,5
psilocybin,60,25,1,4,21,9,0,10,3,2,4,20,1,1,0,2,33,1,18,6,0,7,9,11,33,6,0,0,10,7,13,39,6
picamilon,9,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,0,3,0,0,0,0,0,1,1,0
benedryl,7,5,0,0,2,1,0,3,0,0,0,1,0,0,0,0,6,0,2,3,0,0,5,1,7,0,0,0,0,0,4,3,0
spearmint,5,3,0,0,2,0,0,5,0,1,0,0,1,0,0,0,5,0,0,2,0,1,4,0,6,0,0,0,0,0,1,3,0
lisdexamphetamine,4,4,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,2,0
cabrerana,6,2,0,0,2,3,0,1,1,0,0,2,0,0,0,0,5,0,5,3,0,2,3,3,9,0,0,0,1,0,1,3,0
geodon,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,4,1,0,1,2,0,4,0,0,0,0,0,2,0,0
opioids,30,17,0,1,7,10,0,8,3,3,1,5,1,1,2,1,16,2,13,4,0,5,7,2,19,2,0,0,4,4,8,14,1
duster,10,5,0,1,2,0,0,1,0,0,0,3,0,0,0,1,5,0,2,3,0,0,3,1,9,0,0,0,1,0,3,2,0
gasoline,30,5,1,1,10,4,0,1,2,1,1,7,0,1,0,0,11,0,7,3,0,7,6,6,18,4,1,0,3,2,9,17,1
dronabinol,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,3,0,0,0,0,0,3,1,0
oxide,37,15,3,4,11,11,0,11,3,1,1,10,1,2,0,3,20,2,15,7,1,6,7,7,17,8,1,0,8,8,9,24,3
phenergan,14,5,0,0,3,3,0,3,2,0,0,5,0,0,0,1,3,0,3,4,0,3,2,1,6,0,0,0,0,0,2,3,0
lobelia,10,5,0,0,4,1,0,3,1,1,0,0,0,0,0,0,8,0,3,2,0,3,6,0,5,1,0,0,2,0,3,7,0
aripiprazole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
metoprolol,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tianeptine,6,6,0,0,3,3,0,1,2,0,0,0,0,0,0,0,6,0,3,1,0,1,2,2,5,1,0,0,2,1,3,1,0
root,64,25,4,6,22,14,2,14,5,4,1,20,3,1,3,3,22,3,18,6,2,8,11,8,33,9,0,0,9,14,10,35,7
mirtazapine,5,7,0,0,2,3,0,1,2,0,0,0,0,0,0,0,7,0,1,1,0,1,2,2,5,1,0,0,3,1,3,2,0
capsaicin,4,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,5,1,0,0,0,1,0,1,0
inhalator,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1
dimethylone,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
spp,20,10,1,2,8,5,0,5,2,2,1,4,1,0,0,1,14,0,6,2,0,4,6,1,11,1,0,0,1,4,5,6,3
dilaudid,10,8,0,0,3,2,0,0,1,1,1,2,1,0,0,0,7,1,7,3,0,1,3,1,14,1,0,0,1,2,3,6,1
dxo,9,7,0,0,3,2,0,2,1,0,1,4,0,0,0,0,10,0,4,3,0,1,3,1,8,1,0,0,0,0,2,6,1
xylazine,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
dxm,61,28,2,8,20,14,1,12,3,2,1,19,1,2,0,5,38,3,17,7,0,9,10,11,39,11,2,0,11,8,11,43,4
quetiapine,5,3,0,0,3,3,0,1,1,0,0,0,0,0,0,0,5,0,8,0,0,0,2,2,2,0,0,0,0,0,0,1,0
lexapro,10,10,0,1,3,3,0,1,2,0,0,1,0,0,0,0,7,0,2,1,0,1,5,2,10,1,0,0,2,1,3,0,0
datura,42,20,2,2,13,9,0,8,4,1,3,13,1,0,1,1,23,1,12,6,2,6,9,5,21,6,0,0,3,6,8,26,4
